code,wall_affinity,side,phi1_inf,phi2_inf,nearest_binodal_phi1,nearest_binodal_phi2,distance,signed_distance,tolerance,classification
m0p1,-0.1,weak,0.15212817757816477,0.1514027568922306,0.15119925046845722,0.15175515302935666,0.000993523332695808,-0.0009832017740812851,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.1523900130014115,0.15190375939849624,0.15175515302935666,0.15286695815115553,0.0011536026270956106,-0.0010416293999028102,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.1526508679077921,0.1524047619047619,0.15175515302935666,0.15286695815115553,0.0010079337843484312,-0.0010069949691207797,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.1529143053458359,0.15290576441102757,0.1523110555902561,0.15342286071205496,0.0007945431719820463,-0.0007837709380839671,0.0011118051217989255,boundary_tolerance
m0p1,-0.1,weak,0.15317644540950048,0.15340676691729324,0.1523110555902561,0.15342286071205496,0.0008655394557625137,-0.0007644011884479218,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.153441223549382,0.1539077694235589,0.15286695815115553,0.15453466583385383,0.0008501646057328363,-0.0008097308150819324,0.0011118051217989255,boundary_tolerance
m0p1,-0.1,weak,0.1537049426487236,0.15440877192982458,0.15286695815115553,0.15453466583385383,0.0008473885137504294,-0.0007899155806844054,0.0011118051217989255,boundary_tolerance
m0p1,-0.1,weak,0.15397102995025325,0.15490977443609025,0.15342286071205496,0.15564647095565273,0.0009182653623230943,-0.0008368658926115276,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15423639688373467,0.1554107769423559,0.15342286071205496,0.15564647095565273,0.0008469904193881052,-0.0008256675456617475,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.1545037494372796,0.15591177944862156,0.1539787632729544,0.1567582760774516,0.0009960758080354705,-0.0008872245158297708,0.0011118051217989255,boundary_tolerance
m0p1,-0.1,weak,0.15477085232884133,0.15641278195488723,0.1539787632729544,0.1567582760774516,0.0008641592799839487,-0.0008591026359226948,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15503940908377037,0.1569137844611529,0.15453466583385383,0.15731417863835104,0.0006442679919648988,-0.000639093634403873,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15530836383199237,0.15741478696741856,0.15453466583385383,0.15731417863835104,0.000780211912368258,-0.0006275865076815572,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.1555780392647788,0.15791578947368423,0.1550905683947533,0.1584259837601499,0.0007056387596112133,-0.0006764488797755927,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15584900312761588,0.15841679197994987,0.1550905683947533,0.1584259837601499,0.0007584904302860891,-0.0006629224592455346,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15611967544767505,0.15891779448621554,0.15564647095565273,0.15953778888194878,0.0007799458583842341,-0.0007146752768366706,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15639287011379346,0.1594187969924812,0.15564647095565273,0.15953778888194878,0.0007558245649833395,-0.0007103205215667897,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.1566643611667273,0.15991979949874688,0.15620237351655217,0.16064959400374768,0.0008637317919607333,-0.0007729332122770109,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15693933000175955,0.16042080200501255,0.15620237351655217,0.16064959400374768,0.000771654482119062,-0.0007533048493613889,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15721215319205034,0.16092180451127822,0.1567582760774516,0.1612054965646471,0.0005352435112181523,-0.0005351846264705435,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15748828555636485,0.16142280701754386,0.1567582760774516,0.1612054965646471,0.0007616676914779687,-0.0005050212288098153,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15776313106191597,0.16192380952380953,0.15731417863835104,0.16231730168644598,0.000596987739138036,-0.0005890674171283498,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15804027855886169,0.1624248120300752,0.15731417863835104,0.16231730168644598,0.0007340160546969259,-0.0005657362059670315,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15831741608547872,0.16292581453634086,0.15787008119925047,0.16342910680824485,0.0006733584568379015,-0.0006381821609958543,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.1585953491953174,0.16342681704260653,0.1584259837601499,0.16398500936914429,0.0005833209442794798,-0.00042414754082180074,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15887521360938697,0.1639278195488722,0.1584259837601499,0.16398500936914429,0.00045285553213835156,-0.00041401822181252824,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15915355462984174,0.16442882205513784,0.15898188632104934,0.16509681449094316,0.0006896984141904041,-0.0004986516063607513,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.15943611594108895,0.1649298245614035,0.15898188632104934,0.16509681449094316,0.00048395266740558257,-0.0004738890245906057,0.00111180512179887,boundary_tolerance
m0p1,-0.1,weak,0.1597149851231869,0.16543082706766918,0.15898188632104934,0.1656527170518426,0.0007659432216372253,-0.0007421532322613501,0.00111180512179887,boundary_tolerance
